date,type,amount
2021-10-31,段ボール類,24.26
2021-10-31,その他ﾌﾟﾗ・色,22.91
2021-10-31,容器以外のプラ,3.61
2021-10-31,新聞紙類,13.68
2021-11-30,白トレイ,0.6991
2021-11-30,その他ﾌﾟﾗ・色,23.58
2021-11-30,空きびん,23.31
2021-11-30,燃やすごみ,1127.61
2021-11-30,燃えない ごみ,37.53
2021-11-30,新聞紙類,12.16
2021-11-30,容器以外のプラ,3.29
2021-11-30,スプレー缶類,1.69
2021-11-30,紙製パック,0.22
2021-11-30,乾電池,1.58
2021-11-30,ペットボトル,9.31
2021-11-30,段ボール類,22.81
2021-11-30,蛍光灯,0.59
2021-11-30,雑誌類,26.99
2021-11-30,廃食用油,0.918
2021-11-30,空き缶,10.23
2021-11-30,繊維類,3.75
2021-12-31,繊維類,2.66
2021-12-31,紙製パック,0.2
2021-12-31,その他ﾌﾟﾗ・色,22.45
2021-12-31,新聞紙類,12.93
2021-12-31,容器以外のプラ,3.31
2021-12-31,白トレイ,0.67
2021-12-31,燃やすごみ,925.67
2021-12-31,廃食用油,0.771
2021-12-31,空きびん,22.95
2021-12-31,スプレー缶類,1.73
2021-12-31,ペットボトル,7.84
2021-12-31,乾電池,1.81
2021-12-31,雑誌類,30.1
2021-12-31,段ボール類,24.61
2021-12-31,蛍光灯,0.83
2021-12-31,空き缶,9.88
2021-12-31,燃えない ごみ,38.86
2022-01-31,空き缶,15.73
2022-01-31,燃えない ごみ,36.87
2022-01-31,新聞紙類,10.68
2022-01-31,雑誌類,25.11
2022-01-31,蛍光灯,0.81
2022-01-31,紙製パック,0.15
2022-01-31,燃やすごみ,946.73
2022-01-31,繊維類,1.52
2022-01-31,空きびん,31.93
2022-01-31,段ボール類,20.12
2022-01-31,ペットボトル,9.67
2022-01-31,廃食用油,0.518
2022-01-31,その他ﾌﾟﾗ・色,36.54
2022-01-31,白トレイ,1.3378
2022-01-31,乾電池,1.88
2022-01-31,容器以外のプラ,3.41
2022-01-31,スプレー缶類,2
